iter	Passed	Remaining
875	2587	366
876	2590	363
877	2592	360
878	2596	357
879	2599	354
880	2601	351
881	2604	348
882	2606	345
883	2609	342
884	2612	339
885	2615	336
886	2618	333
887	2621	330
888	2624	327
889	2627	324
890	2630	321
891	2633	318
892	2636	315
893	2639	312
894	2642	310
895	2645	307
896	2648	304
897	2650	301
898	2653	298
899	2656	295
900	2659	292
901	2662	289
902	2665	286
903	2668	283
904	2671	280
905	2674	277
906	2677	274
907	2679	271
908	2682	268
909	2685	265
910	2688	262
911	2691	259
912	2693	256
913	2696	253
914	2698	250
915	2701	247
916	2704	244
917	2706	241
918	2709	238
919	2711	235
920	2714	232
921	2717	229
922	2720	226
923	2722	223
924	2725	220
925	2728	218
926	2731	215
927	2734	212
928	2739	209
929	2742	206
930	2745	203
931	2748	200
932	2751	197
933	2755	194
934	2758	191
935	2761	188
936	2764	185
937	2767	182
938	2770	179
939	2772	176
940	2775	174
941	2778	171
942	2780	168
943	2783	165
944	2786	162
945	2789	159
946	2791	156
947	2794	153
948	2797	150
949	2799	147
950	2802	144
951	2804	141
952	2807	138
953	2810	135
954	2813	132
955	2816	129
956	2818	126
957	2821	123
958	2824	120
959	2827	117
960	2831	114
961	2833	111
962	2836	108
963	2839	106
964	2842	103
965	2845	100
966	2847	97
967	2850	94
968	2853	91
969	2856	88
970	2859	85
971	2862	82
972	2865	79
973	2868	76
974	2871	73
975	2873	70
976	2876	67
977	2878	64
978	2881	61
979	2884	58
980	2887	55
981	2890	52
982	2892	50
983	2895	47
984	2898	44
985	2901	41
986	2903	38
987	2906	35
988	2908	32
989	2911	29
990	2914	26
991	2917	23
992	2919	20
993	2922	17
994	2925	14
995	2928	11
996	2930	8
997	2933	5
998	2936	2
999	2939	0
